ENSDARG00000000001	ZDB-GENE-030616-55
ENSDARG00000000002	ZDB-GENE-030616-56
ENSDARG00000000018	ZDB-GENE-001221-1
ENSDARG00000000019	ZDB-GENE-030616-67
ENSDARG00000000068	ZDB-GENE-031006-7
ENSDARG00000000069	ZDB-GENE-000511-3
ENSDARG00000000086	ZDB-GENE-030616-226
ENSDARG00000000103	ZDB-GENE-030616-162
ENSDARG00000000142	ZDB-GENE-030616-546
ENSDARG00000000151	ZDB-GENE-990415-263
ENSDARG00000000161	ZDB-GENE-041014-84
ENSDARG00000000175	ZDB-GENE-990415-103
ENSDARG00000000183	ZDB-GENE-030131-6259
ENSDARG00000000189	ZDB-GENE-040724-119
ENSDARG00000000212	ZDB-GENE-040718-78
ENSDARG00000000229	ZDB-GENE-050208-484
ENSDARG00000000241	ZDB-GENE-000511-8
ENSDARG00000000324	ZDB-GENE-070912-578
ENSDARG00000000349	ZDB-GENE-040724-203
ENSDARG00000000369	ZDB-GENE-060421-6938
ENSDARG00000000370	ZDB-GENE-030616-399
ENSDARG00000000380	ZDB-GENE-030616-42
ENSDARG00000000394	ZDB-GENE-030616-40
ENSDARG00000000423	ZDB-GENE-030616-19
ENSDARG00000000442	ZDB-GENE-030616-17
ENSDARG00000000460	ZDB-GENE-001106-6
ENSDARG00000000472	ZDB-GENE-990630-12
ENSDARG00000000474	ZDB-GENE-030616-266
ENSDARG00000000476	ZDB-GENE-030616-528
ENSDARG00000000489	ZDB-GENE-040426-1630
ENSDARG00000000503	ZDB-GENE-000330-4
ENSDARG00000000516	ZDB-GENE-030616-533
ENSDARG00000000529	ZDB-GENE-030131-5427
ENSDARG00000000540	ZDB-GENE-030616-362
ENSDARG00000000540	ZDB-GENE-170731-1
ENSDARG00000000542	ZDB-GENE-041210-221
ENSDARG00000000551	ZDB-GENE-030616-566
ENSDARG00000000563	ZDB-GENE-030616-413
ENSDARG00000000567	ZDB-GENE-131126-34
ENSDARG00000000568	ZDB-GENE-030131-3946
ENSDARG00000000588	ZDB-GENE-060312-30
ENSDARG00000000606	ZDB-GENE-030616-623
ENSDARG00000000631	ZDB-GENE-030616-449
ENSDARG00000000638	ZDB-GENE-990604-43
ENSDARG00000000651	ZDB-GENE-030616-532
ENSDARG00000000656	ZDB-GENE-990415-140
ENSDARG00000000666	ZDB-GENE-041114-173
ENSDARG00000000690	ZDB-GENE-050417-309
ENSDARG00000000729	ZDB-GENE-010110-3
ENSDARG00000000730	ZDB-GENE-030616-629
ENSDARG00000000747	ZDB-GENE-110714-2
ENSDARG00000000760	ZDB-GENE-030616-621
ENSDARG00000000767	ZDB-GENE-980526-164
ENSDARG00000000779	ZDB-GENE-030116-3
ENSDARG00000000796	ZDB-GENE-040704-11
ENSDARG00000000804	ZDB-GENE-030616-513
ENSDARG00000000830	ZDB-GENE-061103-523
ENSDARG00000000837	ZDB-GENE-030616-66
ENSDARG00000000853	ZDB-GENE-040826-2
ENSDARG00000000857	ZDB-GENE-010202-2
ENSDARG00000000861	ZDB-GENE-030616-572
ENSDARG00000000887	ZDB-GENE-040426-2099
ENSDARG00000000906	ZDB-GENE-030616-438
ENSDARG00000000935	ZDB-GENE-040426-707
ENSDARG00000000943	ZDB-GENE-040526-1
ENSDARG00000000966	ZDB-GENE-030616-81
ENSDARG00000001014	ZDB-GENE-030131-998
ENSDARG00000001015	ZDB-GENE-030616-498
ENSDARG00000001057	ZDB-GENE-040426-1287
ENSDARG00000001127	ZDB-GENE-050105-4
ENSDARG00000001129	ZDB-GENE-030131-3445
ENSDARG00000001154	ZDB-GENE-040724-96
ENSDARG00000001162	ZDB-GENE-030616-40
ENSDARG00000001169	ZDB-GENE-010110-1
ENSDARG00000001210	ZDB-GENE-060825-216
ENSDARG00000001220	ZDB-GENE-030616-132
ENSDARG00000001234	ZDB-GENE-030616-163
ENSDARG00000001241	ZDB-GENE-040625-116
ENSDARG00000001244	ZDB-GENE-040426-2789
ENSDARG00000001249	ZDB-GENE-030616-605
ENSDARG00000001259	ZDB-GENE-091013-1
ENSDARG00000001303	ZDB-GENE-990415-141
ENSDARG00000001313	ZDB-GENE-030616-400
ENSDARG00000001354	ZDB-GENE-030616-628
ENSDARG00000001414	ZDB-GENE-040724-63
ENSDARG00000001431	ZDB-GENE-030131-2040
ENSDARG00000001437	ZDB-GENE-030131-3158
ENSDARG00000001442	ZDB-GENE-030616-75
ENSDARG00000001447	ZDB-GENE-070705-170
ENSDARG00000001452	ZDB-GENE-030616-622
ENSDARG00000001463	ZDB-GENE-070620-14
ENSDARG00000001470	ZDB-GENE-070705-176
ENSDARG00000001498	ZDB-GENE-090721-1
ENSDARG00000001549	ZDB-GENE-070410-111
ENSDARG00000001557	ZDB-GENE-030131-2081
ENSDARG00000001558	ZDB-GENE-000208-21
ENSDARG00000001559	ZDB-GENE-030616-39
ENSDARG00000001572	ZDB-GENE-060503-461
ENSDARG00000001578	ZDB-GENE-030616-617
ENSDARG00000001621	ZDB-GENE-040718-491
ENSDARG00000001634	ZDB-GENE-040426-2126
ENSDARG00000001656	ZDB-GENE-001208-2
ENSDARG00000001676	ZDB-GENE-030710-10
ENSDARG00000001686	ZDB-GENE-040724-238
ENSDARG00000001710	ZDB-GENE-020430-1
ENSDARG00000001712	ZDB-GENE-141216-101
ENSDARG00000001721	ZDB-GENE-070912-300
ENSDARG00000001729	ZDB-GENE-030616-405
ENSDARG00000001733	ZDB-GENE-030616-21
ENSDARG00000001734	ZDB-GENE-040426-1849
ENSDARG00000001754	ZDB-GENE-000607-75
ENSDARG00000001760	ZDB-GENE-070103-5
ENSDARG00000001767	ZDB-GENE-050220-15
ENSDARG00000001769	ZDB-GENE-020107-1
ENSDARG00000001771	ZDB-GENE-050707-1
ENSDARG00000001776	ZDB-GENE-120404-3
ENSDARG00000001777	ZDB-GENE-040426-711
ENSDARG00000001781	ZDB-GENE-041210-93
ENSDARG00000001782	ZDB-GENE-040426-1351
ENSDARG00000001785	ZDB-GENE-040426-1446
ENSDARG00000001788	ZDB-GENE-050522-147
ENSDARG00000001803	ZDB-GENE-040702-5
ENSDARG00000001804	ZDB-GENE-050417-235
ENSDARG00000001807	ZDB-GENE-030131-5971
ENSDARG00000001817	ZDB-GENE-130530-524
ENSDARG00000001818	ZDB-GENE-030131-3063
ENSDARG00000001825	ZDB-GENE-080815-3
ENSDARG00000001829	ZDB-GENE-050306-55
ENSDARG00000001835	ZDB-GENE-050410-12
ENSDARG00000001857	ZDB-GENE-100910-5
ENSDARG00000001859	ZDB-GENE-000128-11
ENSDARG00000001870	ZDB-GENE-001212-4
ENSDARG00000001873	ZDB-GENE-030131-647
ENSDARG00000001879	ZDB-GENE-061207-13
ENSDARG00000001880	ZDB-GENE-040426-1489
ENSDARG00000001881	ZDB-GENE-060221-2
ENSDARG00000001882	ZDB-GENE-050904-1
ENSDARG00000001888	ZDB-GENE-991102-16
ENSDARG00000001889	ZDB-GENE-090507-4
ENSDARG00000001890	ZDB-GENE-030131-2638
ENSDARG00000001891	ZDB-GENE-041014-36
ENSDARG00000001897	ZDB-GENE-050327-52
ENSDARG00000001898	ZDB-GENE-040912-87
ENSDARG00000001906	ZDB-GENE-091204-249
ENSDARG00000001909	ZDB-GENE-081222-1
ENSDARG00000001910	ZDB-GENE-040426-855
ENSDARG00000001912	ZDB-GENE-051113-172
ENSDARG00000001913	ZDB-GENE-070705-48
ENSDARG00000001929	ZDB-GENE-041212-53
ENSDARG00000001930	ZDB-GENE-040801-99
